Timestamp,Motor Speed (RPM),Return Mode
2020-05-20 00:35:55.521077,1200,Single Return (Strongest)
2020-05-20 00:35:55.521377,1199,Single Return (Strongest)
2020-05-20 00:35:55.521677,1199,Single Return (Strongest)
2020-05-20 00:35:55.521977,1199,Single Return (Strongest)
2020-05-20 00:35:55.522277,1199,Single Return (Strongest)
2020-05-20 00:35:55.522577,1199,Single Return (Strongest)
2020-05-20 00:35:55.522877,1199,Single Return (Strongest)
2020-05-20 00:35:55.523177,1199,Single Return (Strongest)
2020-05-20 00:35:55.523477,1199,Single Return (Strongest)
2020-05-20 00:35:55.523777,1199,Single Return (Strongest)
2020-05-20 00:35:55.524077,1199,Single Return (Strongest)
